fkdaalkjdshfadslkjhafsdjlkafsdhkjadsfhdjsk

BUCK CREEK               A852027062702ALL-CORRECT         MARLEY              02000M332933731454403020330122
HONEY CREEK              B112045112802ALL-CORRECT         YOMA                02000V115467842235711020331003
ISLAND VIEW              C402038011202ALL-CORRECT         MARS                02000A820318055180693020280513
MINE                     D672039031705wrong-CAMP          00--camp            06000M779987587145874020270618
BUCK CREEK               9892048101403wrong-site          01--nuM-AT-BEGINNING04200V938831901360558020380426
BUCK CREEK               FB72040041904WRONG-SITE          02--CHAR-IN-NUM     04800A162513107002690020451117
BUCK CREEK               G7120X5082205WRONG-YEAR          03--CHAR-IN-YEAR    06000M160742342932184020300503
BUCK CREEK               H842019030908WRONG-YEAR          04--PAST            09600V475978382792590020390814
BUCK CREEK               I502028B80810WRONG-MONTH         05--CHAR            12000A164952708780752020210306
BUCK CREEK               J382023002305WRONG-MONTH         06--LOW             06000M940276395047224020350126
BUCK CREEK               K792046130606WRONG-MONTH         07--HIGH            07200V740856351413774020480324
BUCK CREEK               L85202805v808WRONG-DAY           08--CHAR            09600A405866380895258020240508
BUCK CREEK               M582048120009WRONG-DAY           09--LOW             10800M161737413784440020210404
BUCK CREEK               N342031093302WRONG-DAY           10--HIGH            02800V189922438057714020361016
BUCK CREEK               O9620460725bbWRONG-STAY          11--CHAR            bbb00A855259052750759020470303
BUCK CREEK               P572050010801WRONG-STAY          12--LOW             01400M999196747742764020271223
BUCK CREEK               Q852042011312WRONG-STAY          13--HIGH            16800V506940693776610020421227
BUCK CREEK               R672039050508                    14--WRONG-LNAME     11200A112875117529295020220302
BUCK CREEK               S772043071403WRONG-FNAME                             04200M238711046676415020480710
BUCK CREEK               T402042060207WRONG-AMT           15--CHAR            bbb00V454454058696232020400811
BUCK CREEK               U422047071006WRONG-AMT           16--SMALL           00000A745663958764920020250216
BUCK CREEK               V232041112208WRONG-AMT           17--LARGE           99900M128556675380993020310226
BUCK CREEK               W942022072503WRONG-CCTYPE        18--NOT V, M, OR A  042009383488251996233020390208
BUCK CREEK               X372033101205WRONG-CC-YEAR       19--CHAR IN YEAR    07000V648957365122225020V00105
BUCK CREEK               Y942023032207WRONG-CC-YEAR       20--PAST            09800A326730017437524020190722
BUCK CREEK               Z562023090710WRONG-CC-MONTH      21--CHAR            14000M244500614920419020240V02
BUCK CREEK               A702044031107WRONG-CC-MONTH      22--LOW             07000V491029402761534020420003
BUCK CREEK               B222032030905WRONG-CC-MONTH      23--HIGH            05000A507976356526953020361315
BUCK CREEK               C792035042008WRONG-CC-DAY        24--CHAR            08000M67557037844063002031080V
BUCK CREEK               D982037061111WRONG-CC-DAY        25--LOW             13200V535098749685142020420900
BUCK CREEK               E402041101006WRONG-CC-DAY        26--HIGH            07200A677552339384062020421132
BUCK CREEK               F482036112005WRONG-CC-NUM        27--CHAR            06000MV00000000000000020321105
HONEY CREEK              G602040023002LEAP                28--HIGH            02400V541336417779523020260724
ISLAND VIEW              H982040022905LEAP                VALID               06000A602919857800638020490613
BUCK CREEK               I592021022902NON-LEAP            29--HIGH            02400M853443479557336020420526
ISLAND VIEW              J422021022809NON-LEAP            VALID               10800V739906291395627020400725
HONEY CREEK              K55202801310331-DAYS             VALID               03600A609285505004155020461226
ISLAND VIEW              K71204801320931-DAYS             30-HIGH             10800M280010327134792020370415
BUCK CREEK               L73204004300530-DAYS             VALID               06000M962528641057564020220105
ISLAND VIEW              M31202304310530-DAYS             31-HIGH             06000V299896500373142020480622
HONEY CREEK              N792043022410RAIL                YANG                14000A310237003544007020410725
BUCK CREEK               O282025041209CURTIS              FORD                12600M328870052761406020301015
ISLAND VIEW              P912035112403LUKE                FORD                04200V233695066948536020470421
HONEY CREEK              Q292042010208JAXON               FORD                11200A877359368937673020471121
BUCK CREEK               R852028111707SAV                 FORD                09800M834950990888390020390103
ISLAND VIEW              S552024032511ISAAC               FORD                15400V400714672680959020461013
HONEY CREEK              T802021101202BRIGGS              FORD                02800A526094505757213020271227
BUCK CREEK               U432048051811MOD                 ME                  15400M741828641872188020211104
ISLAND VIEW              V782033080810MOD                 YOU                 14000V530040849148394020310926
HONEY CREEK              W892025071708X)                  MIRA                11200V865537366614376020280522
BUCK CREEK               X172030010205FILE                EXPLORER            07000A287360319776730020390613
ISLAND VIEW              Y822046121404FILE                EXPLORER            05600M996398079632297020220602
HONEY CREEK              Z942039030110MEE                 YOU                 14000V918755211872560020331108
